"Central.Air","Lot.Shape","Garage.Cars","Overall.Qual","TotRms.AbvGrd","Gr.Liv.Area","Garage.Area","Fireplaces","Yr.Sold","SalePrice"
"Y","Reg",2,8,6,1590,676,0,2009,210000
"Y","IR1",2,6,4,1218,676,0,2009,208300
"Y","IR1",2,7,6,1436,529,0,2009,225000
"Y","Reg",2,8,6,1314,552,0,2009,229456
"Y","Reg",2,7,7,1402,625,0,2009,229800
"Y","IR1",3,9,7,1530,984,1,2009,250000
"Y","Reg",3,9,7,1766,478,1,2009,370878
"Y","Reg",2,8,6,1448,692,1,2009,238500
"Y","Reg",3,10,10,2007,812,1,2009,310000
"Y","Reg",3,8,8,1795,782,1,2009,270000
"Y","Reg",3,8,9,1953,1043,1,2009,252000
"Y","Reg",2,7,7,1550,438,0,2009,241000
"Y","Reg",2,8,8,1836,517,1,2009,264500
"Y","Reg",3,7,8,1662,711,1,2009,291000
"Y","Reg",2,7,8,2094,615,1,2009,263000
"Y","Reg",2,7,6,1221,400,0,2009,185000
"Y","IR1",2,7,6,1553,588,0,2009,234500
"Y","IR1",2,7,6,1653,628,0,2009,209000
"Y","Reg",2,7,6,1218,576,0,2009,159000
"Y","Reg",2,7,6,1141,484,0,2009,152000
"Y","Reg",0,6,5,1158,0,0,2009,143500
"Y","IR1",2,7,8,1812,478,0,2009,193000
"Y","IR1",3,8,6,1512,845,0,2009,203000
"Y","Reg",2,7,5,1200,555,0,2009,184900
"Y","Reg",2,7,6,1114,576,0,2009,159000
"Y","Reg",0,5,6,1114,0,0,2009,142000
"Y","Reg",2,5,6,1114,576,0,2009,153000
"Y","Reg",3,7,6,1450,788,0,2009,224243
"Y","IR1",2,7,8,2122,559,1,2009,220000
"Y","IR1",2,8,7,1844,620,1,2009,257000
"Y","IR1",2,7,6,1434,527,1,2009,189000
"Y","Reg",2,6,6,1730,528,0,2009,171500
"Y","Reg",1,6,6,1217,288,1,2009,120000
"Y","Reg",2,6,5,1332,542,0,2009,145000
"Y","Reg",2,7,6,1540,495,0,2009,184000
"Y","IR1",2,6,6,1400,465,0,2009,162000
"Y","Reg",2,6,8,1882,612,2,2009,160000
"Y","Reg",1,4,4,841,294,0,2009,82000
"N","Reg",2,6,5,784,360,0,2009,76000
"Y","IR1",2,5,5,980,400,0,2009,110000
"Y","Reg",2,5,6,980,484,0,2009,135000
"Y","IR1",2,5,5,864,732,0,2009,141000
"Y","IR1",1,5,5,864,440,0,2009,122000
"Y","IR1",1,5,5,1020,288,0,2009,124100
"Y","IR1",1,5,6,912,300,0,2009,129000
"Y","Reg",1,5,6,1144,264,1,2009,131400
"Y","IR1",1,5,5,864,360,1,2009,62383
"Y","Reg",1,5,6,912,252,0,2009,123000
"Y","IR1",3,8,6,2014,864,2,2009,275000
"Y","Reg",2,7,7,1755,524,1,2009,235000
"Y","Reg",3,7,9,3005,704,1,2009,280750
"Y","Reg",2,6,4,1224,528,0,2009,164500
"Y","Reg",2,6,4,1224,528,0,2009,173733
"Y","IR1",2,6,6,1726,561,1,2009,222000
"Y","IR1",2,6,5,1256,641,1,2009,195000
"Y","Reg",2,6,6,1471,440,0,2009,172500
"Y","Reg",2,6,4,1512,440,0,2009,180000
"Y","Reg",2,7,6,1452,506,0,2009,156000
"Y","Reg",2,8,7,1739,480,0,2009,172500
"Y","IR1",2,8,5,1694,642,1,2009,318750
"Y","IR1",2,8,4,1226,484,2,2009,211500
"Y","Reg",2,7,7,1740,540,0,2009,241600
"Y","Reg",2,8,5,2499,527,1,2009,180500
"Y","IR1",2,4,8,1620,490,1,2009,150000
"Y","Reg",2,6,8,1556,441,0,2009,154000
"Y","IR1",2,6,6,1442,615,1,2009,185000
"Y","IR1",2,6,7,1489,462,1,2009,185750
"Y","IR1",2,7,7,2090,484,2,2009,200000
"Y","IR1",2,7,7,2067,784,2,2009,206000
"Y","IR1",2,6,6,1395,497,1,2009,162000
"Y","Reg",2,6,8,2640,515,1,2009,256900
"Y","IR1",2,6,7,1724,480,1,2009,197900
"Y","Reg",2,5,6,1336,502,1,2009,163000
"Y","Reg",1,6,5,1216,336,0,2009,113000
"Y","IR1",2,7,8,2288,520,2,2009,230000
"Y","Reg",2,6,6,1334,630,1,2009,167900
"Y","Reg",2,7,7,1680,583,1,2009,213250
"Y","Reg",2,8,6,1665,528,0,2009,227000
"Y","Reg",1,5,5,864,312,0,2009,130000
"Y","Reg",2,5,7,1568,440,0,2009,143000
"Y","Reg",1,5,5,925,429,0,2009,117500
"Y","Reg",2,7,8,2061,498,1,2009,168500
"Y","Reg",2,6,5,1320,495,1,2009,172500
"Y","Reg",2,6,7,1342,457,1,2009,161500
"Y","Reg",2,4,5,894,396,1,2009,141500
"Y","Reg",1,5,5,864,308,0,2009,118000
"Y","Reg",1,6,5,864,300,0,2009,127500
"Y","IR1",3,4,6,1362,768,1,2009,140000
"Y","IR1",2,5,7,1728,576,1,2009,177625
"Y","Reg",3,5,9,1776,888,0,2009,110000
"Y","Reg",2,6,6,1516,472,0,2009,167000
"Y","Reg",2,5,6,1313,610,1,2009,153000
"Y","IR1",2,5,6,1292,520,2,2009,145100
"Y","IR1",2,5,6,1154,480,1,2009,154000
"Y","IR1",2,5,7,2140,549,1,2009,177500
"Y","IR1",2,6,7,1445,645,1,2009,158000
"Y","Reg",1,5,6,1041,270,0,2009,124500
"Y","Reg",2,6,7,1576,368,1,2009,174500
"Y","Reg",1,5,5,960,330,0,2009,122000
"Y","Reg",0,4,5,708,0,0,2009,82500
"Y","IR1",1,5,5,1203,352,1,2009,110000
"Y","Reg",2,6,6,1505,505,1,2009,149500
"Y","Reg",2,6,5,1691,550,0,2009,175000
"Y","Reg",2,6,7,1644,418,2,2009,167000
"Y","Reg",1,5,5,1050,338,0,2009,128900
"Y","Reg",1,6,6,1668,271,0,2009,140000
"Y","Reg",1,5,5,1113,264,1,2009,147000
"Y","Reg",3,5,8,1584,792,0,2009,124000
"Y","IR1",2,6,6,1453,530,1,2009,187500
"Y","IR1",2,6,6,1394,514,2,2009,159000
"Y","IR1",2,6,5,1567,542,2,2009,256000
"Y","Reg",2,7,7,1986,486,3,2009,205000
"Y","Reg",1,6,8,2142,509,1,2009,193500
"Y","Reg",2,6,5,1392,576,2,2009,110000
"Y","IR1",1,4,7,1738,368,1,2009,104900
"Y","Reg",1,5,6,1144,286,0,2009,150000
"Y","Reg",2,6,6,1478,442,2,2009,156500
"Y","IR1",2,7,5,1329,441,2,2009,176000
"Y","IR1",1,6,6,988,297,0,2009,149500
"Y","Reg",1,6,6,1632,338,1,2009,139000
"Y","IR1",1,6,6,1215,297,0,2009,155000
"Y","Reg",1,5,6,1202,304,0,2009,120000
"Y","Reg",1,5,6,1382,350,0,2009,153000
"Y","Reg",1,4,6,1200,294,2,2009,144000
"Y","Reg",2,6,6,1382,884,1,2009,176000
"Y","Reg",2,5,5,1297,498,1,2009,153000
"Y","Reg",2,5,8,1866,495,0,2009,135000
"Y","IR1",1,6,6,1062,297,0,2009,131000
"Y","Reg",1,5,5,1319,270,0,2009,123000
"Y","Reg",2,5,5,1112,480,0,2009,126000
"Y","Reg",2,4,5,1005,672,1,2009,115000
"Y","Reg",1,5,6,1363,288,2,2009,164900
"Y","Reg",1,5,4,793,240,0,2009,113000
"Y","Reg",1,5,5,1031,230,0,2009,145500
"Y","Reg",1,5,7,1210,616,0,2009,102900
"Y","IR1",2,3,7,1699,420,0,2009,95000
"Y","Reg",2,7,6,1527,410,1,2009,152500
"Y","Reg",1,5,6,1200,246,0,2009,129900
"Y","Reg",1,6,5,972,240,1,2009,132000
"Y","Reg",1,3,4,792,366,0,2009,99900
"Y","Reg",1,5,8,1656,180,0,2009,135000
"Y","Reg",2,5,7,1352,720,0,2009,149000
"Y","Reg",1,4,6,1039,281,0,2009,114000
"Y","Reg",1,5,5,792,240,0,2009,109500
"Y","Reg",1,5,6,1078,264,0,2009,125000
"Y","Reg",2,4,8,2377,528,1,2009,142900
"Y","Reg",2,7,5,1690,624,0,2009,156500
"N","Reg",0,2,4,599,0,0,2009,59000
"Y","Reg",1,4,6,1374,338,0,2009,105000
"N","Reg",2,5,4,846,576,0,2009,106000
"Y","Reg",1,3,4,725,320,0,2009,78500
"Y","Reg",3,6,12,2544,907,0,2009,190000
"Y","Reg",1,6,6,1380,364,0,2009,154000
"Y","IR1",2,6,6,1040,480,1,2009,163000
"Y","Reg",4,5,12,2634,968,0,2009,200000
"Y","Reg",2,6,6,951,480,0,2009,143500
"Y","IR1",1,6,5,1105,308,0,2009,135000
"Y","IR1",1,5,5,1306,756,0,2009,153000
"Y","IR1",2,6,6,1478,498,2,2009,157500
"Y","IR1",1,6,5,1142,384,1,2009,113500
"Y","Reg",1,5,6,1268,288,1,2009,133000
"N","Reg",2,3,6,1040,400,0,2009,92900
"N","Reg",2,6,5,1133,900,0,2009,128500
"N","Reg",2,4,6,1040,420,0,2009,90000
"Y","Reg",1,5,7,1904,240,0,2009,138000
"Y","Reg",1,5,6,1041,294,0,2009,128000
"Y","Reg",1,5,6,1339,294,0,2009,139000
"Y","Reg",1,5,4,732,240,0,2009,118900
"Y","Reg",1,5,6,1183,288,0,2009,138000
"Y","Reg",1,5,6,1148,672,0,2009,132500
"Y","Reg",1,4,6,1461,384,0,2009,133500
"Y","Reg",2,6,6,1495,576,0,2009,135000
"Y","Reg",2,6,8,1806,483,0,2009,144750
"Y","IR1",2,5,4,941,564,0,2009,145000
"Y","Reg",1,6,6,1045,264,1,2009,127000
"N","Reg",1,5,5,894,308,0,2009,109500
"Y","Reg",1,6,5,1224,210,0,2009,115000
"Y","Reg",2,5,5,1230,440,0,2009,110000
"Y","Reg",1,6,6,1378,162,0,2009,128900
"N","Reg",2,6,12,1944,324,0,2009,103500
"Y","Reg",1,5,5,1131,200,0,2009,66500
"Y","Reg",2,5,6,1306,472,0,2009,130000
"Y","Reg",0,5,7,1464,0,0,2009,129000
"Y","Reg",2,5,7,1558,400,1,2009,150000
"N","Reg",1,5,11,2372,432,0,2009,107500
"N","Reg",0,4,8,1701,0,0,2009,94550
"Y","Reg",2,5,10,1960,400,0,2009,124500
"Y","Reg",1,7,6,1389,240,2,2009,135000
"N","Reg",0,5,6,1447,0,0,2009,103000
"N","Reg",2,4,4,936,576,0,2009,93000
"Y","Reg",1,5,6,1328,308,0,2009,129500
"Y","Reg",1,5,7,1387,256,0,2009,93000
"Y","Reg",2,4,5,861,288,0,2009,80000
"N","Reg",1,2,4,612,308,0,2009,45000
"N","Reg",0,3,6,968,0,0,2009,37900
"Y","Reg",1,5,4,886,273,0,2009,91300
"Y","Reg",1,5,5,792,287,0,2009,99500
"Y","Reg",0,4,8,1452,0,0,2009,113000
"Y","Reg",2,4,7,1510,720,0,2009,87500
"Y","Reg",1,5,5,1284,240,0,2009,110000
"N","Reg",2,5,11,2138,360,0,2009,106000
"N","IR1",4,7,8,2640,864,1,2009,265979
"Y","Reg",1,6,8,2007,357,0,2009,160000
"Y","Reg",1,6,5,1288,280,1,2009,119000
"Y","Reg",2,8,8,1742,424,1,2009,168000
"Y","Reg",0,4,5,816,0,1,2009,58500
"Y","Reg",2,7,7,1482,324,0,2009,143000
"N","Reg",1,5,4,1022,280,0,2009,85000
"Y","Reg",2,5,7,1869,456,0,2009,124900
"Y","Reg",1,6,6,1480,207,0,2009,119000
"Y","Reg",3,6,8,1521,640,0,2009,146500
"N","Reg",0,4,4,720,0,0,2009,34900
"N","Reg",0,3,5,797,0,0,2009,44000
"Y","Reg",2,5,6,1576,528,1,2009,223500
"N","Reg",1,6,6,1432,216,1,2009,149000
"N","Reg",2,7,5,1548,672,0,2009,205000
"Y","Reg",1,5,7,1654,336,1,2009,137000
"N","Reg",1,6,4,952,192,1,2009,121000
"Y","Reg",1,4,6,1324,240,0,2009,128000
"Y","Reg",2,6,4,1176,624,0,2009,134900
"Y","Reg",1,5,5,1348,216,1,2009,117000
"Y","Reg",1,6,6,1412,280,1,2009,132500
"Y","Reg",1,5,6,1142,320,0,2009,93000
"Y","Reg",1,6,4,904,180,0,2009,119000
"Y","Reg",2,5,5,1301,440,0,2009,100000
"Y","Reg",2,5,5,1539,576,0,2009,141500
"Y","Reg",1,4,6,1573,240,0,2009,133000
"N","Reg",0,2,4,800,0,1,2009,60000
"Y","Reg",1,5,5,875,180,0,2009,105000
"Y","Reg",1,5,5,995,264,0,2009,115000
"Y","Reg",1,5,6,1582,250,1,2009,150000
"Y","Reg",5,5,5,1072,1184,0,2009,126500
"N","IR1",2,6,10,2134,441,0,2009,214500
"N","IR1",2,7,8,2019,532,0,2009,167500
"Y","Reg",2,6,8,1768,576,0,2009,155000
"Y","Reg",1,7,7,1826,164,1,2009,155000
"Y","Reg",1,7,8,1944,216,0,2009,179900
"Y","Reg",0,6,8,2229,0,0,2009,104000
"N","Reg",0,5,11,2128,0,0,2009,62500
"Y","Reg",1,6,8,1930,316,0,2009,149000
"Y","Reg",2,4,5,1208,539,0,2009,103000
"Y","IR2",1,6,7,1427,379,0,2009,123000
"N","IR3",0,7,9,1864,0,0,2009,97500
"Y","Reg",1,6,4,1666,384,0,2009,135000
"Y","Reg",0,4,5,892,0,0,2009,70000
"Y","Reg",1,6,7,1403,308,0,2009,116000
"Y","IR1",1,4,4,704,220,0,2009,88750
"Y","Reg",0,5,5,1200,0,0,2009,179000
"Y","Reg",0,5,5,1200,0,0,2009,179000
"Y","IR1",1,5,6,1152,252,0,2009,159900
"N","IR1",0,1,4,904,0,0,2009,61000
"N","Reg",1,6,6,1369,300,0,2009,103600
"N","Reg",1,5,6,1112,226,0,2009,63000
"Y","IR1",2,5,6,1464,480,1,2009,175000
"Y","Reg",2,5,5,1121,480,0,2009,139000
"Y","Reg",2,6,7,1683,440,1,2009,172500
"Y","Reg",1,5,6,1052,668,1,2009,113500
"Y","Reg",1,5,5,899,288,0,2009,130000
"Y","IR1",2,6,5,1034,504,1,2009,149900
"Y","IR1",2,5,5,858,576,0,2009,134900
"Y","IR1",2,5,4,860,528,0,2009,137000
"Y","Reg",1,5,6,1092,288,1,2009,139000
"Y","Reg",1,5,8,1774,384,1,2009,165000
"Y","Reg",2,6,6,1138,480,1,2009,148000
"Y","Reg",1,5,9,2071,336,1,2009,165000
"N","Reg",0,2,5,660,0,0,2009,63900
"Y","Reg",1,4,8,1788,304,2,2009,161500
"Y","IR1",1,5,5,1473,452,2,2009,143000
"Y","Reg",1,4,6,1229,284,0,2009,135000
"Y","IR1",2,4,4,861,539,0,2009,82500
"Y","IR1",1,5,7,1867,303,3,2009,190000
"Y","IR1",2,3,8,1733,452,1,2009,139600
"Y","IR1",2,4,6,1383,498,0,2009,122000
"Y","Reg",2,6,7,1689,480,1,2009,127500
"Y","Reg",1,5,5,1073,340,0,2009,121500
"Y","Reg",1,5,5,1276,350,0,2009,60000
"Y","Reg",1,6,6,1639,240,1,2009,154400
"Y","Reg",1,4,4,672,234,0,2009,113000
"Y","Reg",1,5,5,1089,252,1,2009,125000
"N","IR1",1,4,5,845,290,0,2009,84000
"Y","Reg",1,5,5,1049,266,0,2009,139500
"Y","Reg",1,5,8,1716,281,1,2009,131000
"Y","Reg",1,6,6,1258,280,0,2009,105000
"Y","Reg",1,4,7,1510,296,1,2009,108000
"Y","IR1",2,7,4,1061,462,0,2009,162000
"Y","IR1",2,6,5,1338,576,1,2009,156500
"Y","IR1",2,8,5,2132,612,1,2009,316600
"Y","IR1",3,7,7,2196,701,1,2009,271900
"Y","Reg",2,7,7,1775,425,1,2009,213000
"Y","Reg",2,7,8,1879,473,1,2009,239900
"Y","IR1",2,8,8,2020,466,1,2009,239500
"Y","Reg",2,5,7,2016,576,1,2009,131000
"Y","Reg",2,5,8,1535,410,0,2009,118964
"Y","Reg",2,5,6,1224,528,2,2009,153337
"Y","Reg",2,5,8,2228,720,0,2009,147983
"Y","Reg",2,5,8,1535,400,0,2009,118858
"Y","Reg",2,5,8,1535,400,0,2009,118858
"Y","Reg",2,5,12,2240,528,0,2009,142953
"Y","Reg",2,5,6,1229,672,2,2009,148325
"Y","Reg",2,5,8,1513,400,0,2009,113722
"Y","Reg",4,7,8,2787,820,2,2009,269500
"Y","Reg",4,7,8,2787,820,2,2009,269500
"Y","Reg",4,7,8,2787,820,2,2009,269500
"Y","Reg",3,9,8,1680,1138,1,2009,323262
"Y","Reg",3,8,7,1718,826,1,2009,297000
"Y","IR1",3,8,8,1630,860,1,2009,295493
"Y","IR1",3,9,8,1720,846,1,2009,332000
"Y","Reg",3,8,6,1468,904,1,2009,239900
"Y","IR1",2,8,7,1768,578,0,2009,212000
"Y","IR1",2,8,7,1838,524,2,2009,272500
"Y","IR1",2,9,7,1800,702,0,2009,239000
"Y","Reg",2,7,8,1604,660,1,2009,220000
"Y","Reg",2,7,6,1290,662,1,2009,200000
"Y","IR1",3,8,5,1254,810,0,2009,221800
"Y","Reg",2,7,6,1232,632,0,2009,194500
"Y","Reg",3,8,7,1498,844,1,2009,237000
"Y","IR1",2,6,7,1422,440,1,2009,173000
"Y","Reg",2,7,5,1644,569,1,2009,275000
"Y","IR1",2,7,7,1759,525,1,2009,233500
"Y","IR2",2,5,7,2126,538,0,2009,185000
"Y","IR2",2,5,6,1040,576,0,2009,152000
"Y","Reg",1,5,5,990,440,0,2009,143000
"Y","IR1",2,6,7,1764,470,0,2009,231500
"Y","IR2",2,7,6,1661,550,1,2009,212000
"Y","IR2",2,7,5,1463,539,0,2009,207000
"Y","Reg",2,5,6,1097,672,0,2009,145000
"Y","Reg",2,5,5,990,480,0,2009,138000
"Y","Reg",2,7,6,1779,546,0,2009,197900
"Y","IR1",2,7,6,1501,577,0,2009,204000
"Y","IR1",2,7,6,1431,666,0,2009,192000
"Y","Reg",2,6,7,1772,492,1,2009,200000
"Y","IR1",2,7,7,1660,493,0,2009,195000
"Y","IR1",2,7,6,1573,544,0,2009,227000
"Y","Reg",2,7,6,1840,622,0,2009,230000
"Y","IR2",2,7,6,1430,605,0,2009,187100
"Y","IR1",2,7,6,1444,577,0,2009,203000
"Y","Reg",2,7,6,1492,608,1,2009,201000
"Y","Reg",0,5,5,1040,0,0,2009,124000
"Y","IR1",1,5,5,907,343,0,2009,140000
"Y","IR1",2,5,5,914,444,0,2009,134900
"Y","IR1",2,5,5,1040,484,0,2009,150500
"Y","IR1",1,5,6,864,336,0,2009,136500
"Y","IR1",1,5,5,1268,252,0,2009,143500
"Y","IR1",1,5,5,864,338,1,2009,133500
"Y","Reg",2,5,6,894,600,0,2009,123000
"Y","Reg",1,5,5,768,396,0,2009,133900
"Y","Reg",2,5,5,768,396,0,2009,133000
"Y","Reg",3,7,6,1611,1231,0,2009,250000
"Y","IR1",2,8,8,2184,570,1,2009,254750
"Y","Reg",2,8,7,1788,522,1,2009,236500
"Y","Reg",2,8,7,1872,531,1,2009,261500
"Y","Reg",3,9,8,2153,736,2,2009,313000
"Y","Reg",2,7,6,1725,550,0,2009,198500
"Y","Reg",2,7,6,1870,608,0,2009,211000
"Y","Reg",2,8,5,1513,521,1,2009,220000
"Y","Reg",2,7,6,1504,478,1,2009,203000
"Y","Reg",2,8,7,1828,523,1,2009,279500
"Y","Reg",2,7,7,1417,511,1,2009,210000
"Y","Reg",2,7,8,2034,645,0,2009,219500
"Y","Reg",2,7,7,1716,512,1,2009,191000
"Y","Reg",2,7,6,1212,573,0,2009,178000
"Y","Reg",2,7,6,1630,451,1,2009,213000
"Y","Reg",2,6,4,848,420,0,2009,144000
"Y","Reg",2,6,4,848,420,0,2009,140000
"Y","Reg",3,8,7,1602,810,1,2009,293200
"Y","IR1",2,7,7,1728,572,0,2009,190000
"Y","Reg",2,7,6,1500,570,0,2009,190000
"Y","Reg",2,6,7,1476,540,0,2009,173500
"Y","Reg",2,6,6,1396,440,1,2009,170000
"Y","Reg",2,4,5,1126,520,0,2009,108000
"Y","Reg",2,5,7,1486,480,0,2009,167000
"Y","Reg",1,4,3,816,288,1,2009,100000
"Y","Reg",2,7,7,1922,672,1,2009,198500
"Y","IR1",2,6,6,1426,440,0,2009,159500
"Y","Reg",1,4,7,1149,544,0,2009,127000
"Y","Reg",1,6,6,1125,352,1,2009,125000
"Y","IR1",3,9,8,1698,768,1,2009,320000
"Y","Reg",2,6,5,1072,525,0,2009,145500
"Y","Reg",0,5,4,698,0,0,2009,118000
"Y","Reg",1,4,5,876,320,0,2009,85000
"Y","Reg",1,5,6,1368,195,0,2009,120000
"N","Reg",1,4,9,1529,240,0,2009,98000
"Y","Reg",0,5,4,864,0,0,2009,99900
"N","Reg",2,3,4,944,528,0,2009,82000
"Y","Reg",0,5,10,1678,0,0,2009,119900
"Y","Reg",1,5,7,1560,313,1,2009,103500
"Y","IR1",1,4,5,960,288,0,2009,112000
"Y","Reg",2,6,7,1196,528,0,2009,110000
"Y","Reg",1,5,6,1298,256,2,2009,122000
"Y","Reg",2,5,6,1604,660,0,2009,117000
"Y","Reg",1,5,7,1268,250,2,2009,160000
"Y","IR2",1,5,6,1520,281,0,2009,159434
"N","Reg",1,2,3,438,246,0,2009,60000
"Y","Reg",1,6,7,1489,240,1,2009,139500
"Y","Reg",2,7,12,3082,672,2,2009,197000
"Y","Reg",1,6,6,1242,180,1,2009,105000
"Y","Reg",2,4,7,1981,576,2,2009,135000
"Y","Reg",2,6,6,1232,440,1,2009,147500
"Y","Reg",1,6,7,1608,216,1,2009,137450
"Y","Reg",2,7,6,1135,576,0,2009,155000
"Y","Reg",2,6,9,1913,342,1,2009,177000
"Y","Reg",1,7,6,1477,216,1,2009,145000
"Y","Reg",1,7,6,1228,215,1,2009,137000
"Y","Reg",1,7,9,2080,282,2,2009,234000
"Y","Reg",2,5,6,1567,440,2,2009,205000
"Y","IR1",1,6,7,1494,213,2,2009,177500
"Y","IR1",1,5,7,1308,256,2,2009,160000
"Y","IR1",1,5,5,1273,307,0,2009,155000
"Y","IR1",2,5,5,964,432,0,2009,163500
"Y","IR1",1,5,7,1343,186,1,2009,154900
"Y","IR1",2,7,13,2480,400,2,2009,205000
"Y","Reg",1,5,6,1112,390,1,2009,144800
"Y","Reg",1,7,7,1564,234,1,2009,174500
"Y","IR1",2,6,6,1561,463,1,2009,193000
"N","Reg",1,5,7,1523,295,1,2009,158000
"Y","Reg",1,6,6,1152,300,1,2009,158500
"Y","Reg",2,6,6,1906,576,2,2009,224000
"Y","Reg",2,6,5,1032,452,1,2009,115000
"Y","Reg",2,6,5,1229,462,1,2009,137000
"Y","Reg",2,6,5,1229,462,1,2009,121000
"Y","Reg",2,6,5,1229,462,1,2009,124000
"Y","IR1",2,6,6,1982,501,1,2009,208000
"Y","Reg",2,7,7,2365,551,2,2009,315000
"Y","IR1",2,6,5,1680,540,1,2009,222000
"Y","Reg",1,5,6,1344,468,0,2009,147000
"N","Reg",2,5,11,2168,576,0,2009,123000
"N","Reg",1,5,6,1192,189,0,2009,78000
"N","IR1",0,3,6,1526,0,0,2009,85000
"N","Reg",1,4,4,572,200,0,2009,75000
"Y","IR1",2,8,5,1648,482,1,2009,230000
"N","Reg",1,2,4,810,280,0,2009,57625
"Y","Reg",3,8,7,2052,642,1,2009,251000
"Y","IR1",2,7,6,2149,670,1,2009,239686
"Y","IR1",2,7,7,1710,550,1,2009,240000
"Y","IR1",2,6,7,1961,560,1,2009,215000
"Y","Reg",1,6,5,926,351,1,2009,156450
"Y","Reg",2,6,5,1287,541,2,2009,173000
"Y","Reg",2,5,8,1734,539,0,2009,126000
"Y","IR1",2,7,6,1217,497,0,2009,173000
"Y","Reg",2,5,5,1595,672,0,2009,152000
"Y","IR1",2,6,7,1344,525,1,2009,137500
"Y","IR3",2,7,8,2036,513,2,2009,375000
"Y","IR1",3,9,6,1620,912,1,2009,315500
"Y","IR1",2,7,6,1692,650,0,2009,224500
"Y","IR1",3,9,9,2036,780,1,2009,410000
"Y","IR1",3,9,7,1641,885,0,2009,316500
"Y","IR1",3,8,7,1466,610,0,2009,201000
"Y","IR1",2,6,6,1412,576,1,2009,175000
"Y","IR1",2,6,7,2237,440,1,2009,204000
"Y","IR1",2,7,7,1479,578,1,2009,213500
"Y","IR1",2,8,6,1296,471,0,2009,220000
"Y","IR1",2,7,9,2014,486,0,2009,170000
"Y","Reg",3,9,8,1838,765,1,2009,315000
"Y","IR1",3,9,7,1978,920,1,2009,425000
"Y","IR1",1,5,6,1008,384,0,2009,139500
"Y","Reg",2,5,9,1771,336,1,2009,115000
"Y","Reg",2,6,5,1204,412,0,2009,162000
"Y","Reg",2,6,5,1224,402,0,2009,165000
"Y","Reg",1,4,5,988,297,0,2009,91000
"Y","Reg",1,5,5,874,288,0,2009,130000
"Y","Reg",1,4,3,630,286,0,2009,86000
"Y","IR1",2,5,7,1404,504,1,2009,160000
"Y","Reg",1,4,3,630,286,0,2009,80000
"Y","Reg",0,4,6,1344,0,1,2009,97000
"Y","Reg",1,4,6,1092,286,0,2009,88000
"Y","IR1",1,5,4,796,336,0,2009,131900
"Y","Reg",1,6,5,1091,429,0,2009,131250
"Y","IR1",2,5,4,1110,602,1,2009,165500
"Y","IR1",0,5,5,833,0,0,2009,112000
"Y","Reg",2,5,5,883,698,1,2009,149000
"Y","IR1",2,5,5,1362,480,0,2009,143000
"Y","Reg",2,5,6,1287,440,0,2009,130000
"Y","IR1",2,6,5,1567,714,2,2009,196000
"Y","IR1",2,5,7,1632,898,1,2009,173000
"Y","IR1",2,6,6,1414,601,1,2008,176500
"Y","IR1",2,6,7,2117,550,2,2008,237500
"Y","Reg",2,6,9,2112,576,2,2008,206900
"Y","IR1",2,6,7,1604,470,1,2008,187500
"Y","Reg",2,6,7,1470,420,1,2008,165000
"Y","IR1",2,6,7,1604,472,0,2008,195500
"Y","IR1",2,6,7,1638,472,2,2008,192000
"Y","IR2",2,6,7,1636,386,1,2008,173000
"Y","IR1",2,5,7,1384,404,0,2008,177900
"Y","IR2",2,7,6,1446,406,1,2008,175000
"Y","Reg",2,8,5,1593,682,1,2008,286000
"Y","IR1",2,8,6,1682,528,1,2008,247900
"Y","IR1",2,8,5,1337,462,1,2008,180000
"Y","IR1",2,8,5,1280,506,0,2008,180000
"Y","IR1",2,6,7,1604,470,1,2008,181000
"Y","IR1",2,6,7,1633,460,1,2008,183000
"Y","Reg",2,6,8,1658,431,1,2008,188000
"Y","IR1",2,7,7,1895,409,1,2008,194500
"Y","Reg",2,6,7,1709,416,0,2008,185000
"Y","IR1",2,8,5,1228,472,1,2008,189000
"Y","IR1",2,8,5,1337,462,1,2008,188500
"Y","IR1",3,8,9,2500,683,1,2008,355000
"Y","IR1",3,9,11,2504,656,1,2008,325000
"Y","IR1",3,9,7,1884,670,1,2008,387000
"Y","IR1",2,6,7,1474,495,2,2008,115000
"Y","Reg",2,9,6,1710,557,1,2008,334000
"Y","IR1",2,6,6,1488,738,1,2008,133000
"Y","IR1",2,7,7,2093,542,1,2008,215000
"Y","IR1",2,7,6,1688,528,1,2008,226500
"Y","IR1",2,6,7,1422,576,1,2008,175500
"Y","IR1",2,7,6,1260,598,0,2008,181900
"Y","IR1",2,7,7,2064,550,2,2008,235000
"Y","Reg",2,7,6,1782,551,1,2008,220000
"Y","IR1",2,6,11,2872,619,1,2008,272000
"Y","Reg",2,6,6,1211,461,1,2008,161000
"Y","IR1",2,5,6,1126,540,0,2008,175000
"Y","Reg",2,7,7,2044,489,1,2008,185000
"Y","Reg",2,5,7,1308,484,0,2008,146900
"Y","IR1",4,7,8,2840,1314,2,2008,292500
"Y","Reg",2,6,7,1523,478,1,2008,180000
"Y","Reg",2,6,5,1444,473,1,2008,159900
"Y","Reg",2,7,8,1964,483,1,2008,205000
"Y","Reg",2,5,5,1178,439,1,2008,157000
"Y","IR1",3,8,9,2340,787,1,2008,306000
"Y","Reg",2,5,8,1792,480,0,2008,133000
